Rank,Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,year
1,United States,199010,173610,1443525,743394,7.25,1213,2013
2,China,59509,56968,281576,133543,4.73,306,2013
3,United Kingdom,56518,47938,437865,112499,7.75,806,2013
4,Germany,46115,40459,327892,83978,7.11,672,2013
5,Japan,37508,34423,174368,46380,4.65,491,2013
6,Italy,32911,28351,244385,61618,7.43,604,2013
7,France,31232,27484,226659,45853,7.26,643,2013
8,Canada,29923,26788,246843,46365,8.25,684,2013
9,Australia,26075,22726,200264,45176,7.68,526,2013
10,Spain,24122,20314,151438,32133,6.28,471,2013
11,India,23736,20200,68826,19449,2.9,242,2013
12,Netherlands,21573,19269,197333,37202,9.15,598,2013
13,South Korea,17983,16675,91990,19205,5.12,262,2013
14,Brazil,17134,15718,74595,20172,4.35,306,2013
15,Turkey,15997,13963,38445,9047,2.4,198,2013
16,Switzerland,13804,12287,123482,18351,8.95,531,2013
17,Sweden,11958,10851,107400,17089,8.98,502,2013
18,Belgium,9699,8740,95807,13129,9.88,475,2013
19,Iran,9649,8857,26474,9588,2.74,127,2013
20,Taiwan,9552,8672,46608,9440,4.88,252,2013
21,Poland,8709,8224,44245,7706,5.08,285,2013
22,Denmark,8616,7549,75198,12506,8.73,429,2013
23,Austria,6736,5940,57180,7339,8.49,355,2013
24,Greece,5699,4947,39392,4973,6.91,272,2013
25,Norway,5600,4815,46693,6851,8.34,349,2013
26,Israel,5442,4882,41757,4861,7.67,347,2013
27,Portugal,4574,4118,27560,4229,6.03,225,2013
28,Finland,4308,3988,37865,5392,8.79,377,2013
29,Mexico,4286,3892,18423,3009,4.3,218,2013
30,Czech Republic,4229,3935,27052,3564,6.4,238,2013
31,Russia,4094,3985,16116,3081,3.94,209,2013
32,South Africa,3986,3592,27146,6019,6.81,239,2013
33,New Zealand,3917,3408,27007,4098,6.89,289,2013
34,Singapore,3899,3489,29702,3678,7.62,232,2013
35,Ireland,3707,3257,28908,3157,7.8,268,2013
36,Egypt,3414,3243,11958,1696,3.5,127,2013
37,Hong Kong,3407,3078,26718,3333,7.84,267,2013
38,Argentina,3191,2857,17298,2368,5.42,225,2013
39,Malaysia,3175,2988,11942,2790,3.76,117,2013
40,Thailand,3027,2755,16083,2509,5.31,187,2013
41,Saudi Arabia,2976,2755,15348,2633,5.16,130,2013
42,Pakistan,2904,2670,9007,1752,3.1,113,2013
43,Hungary,2385,2242,16884,2090,7.08,226,2013
44,Chile,2150,1991,10227,1725,4.76,168,2013
45,Romania,2063,1940,9531,1332,4.62,127,2013
46,Colombia,1980,1824,6824,1017,3.45,141,2013
47,Croatia,1771,1633,5879,882,3.32,122,2013
48,Nigeria,1760,1617,3941,951,2.24,104,2013
49,Serbia,1734,1556,6481,908,3.74,88,2013
50,Tunisia,1272,1070,4152,621,3.26,89,2013
51,Morocco,1138,938,1937,176,1.7,79,2013
52,Slovenia,1108,1052,6698,947,6.05,132,2013
53,Slovakia,991,931,4626,592,4.67,133,2013
54,Cuba,963,877,1165,300,1.21,84,2013
55,Kenya,912,875,6661,1224,7.3,143,2013
56,Lebanon,758,666,3537,386,4.67,112,2013
57,Bulgaria,755,710,3013,251,3.99,110,2013
58,Bangladesh,717,683,4333,761,6.04,108,2013
59,Uganda,677,634,4806,943,7.1,119,2013
60,Peru,609,515,3493,453,5.74,128,2013
61,Ethiopia,581,560,2398,721,4.13,71,2013
62,Venezuela,573,534,1781,183,3.11,120,2013
63,Tanzania,563,533,4102,784,7.29,106,2013
64,Indonesia,554,532,3189,406,5.76,108,2013
65,Vietnam,522,498,3262,474,6.25,115,2013
66,United Arab Emirates,517,475,2330,266,4.51,88,2013
67,Ukraine,492,479,2554,288,5.19,103,2013
68,Philippines,487,461,3349,244,6.88,111,2013
69,Nepal,478,439,1334,274,2.79,73,2013
70,Qatar,467,411,3101,496,6.64,61,2013
71,Iceland,462,410,4454,356,9.64,146,2013
72,Jordan,459,434,1434,152,3.12,74,2013
73,Ghana,455,429,2578,445,5.67,90,2013
74,Estonia,440,429,6087,388,13.83,118,2013
