Country,M,Code
Sri Lanka,110.4,LKA
Colombia,57.09,COL
Indonesia,40.06,IDN
Cuba,31.58,CUB
Puerto Rico,29.49,PRI
Thailand,21.35,THA
Singapore,20.11,SGP
Malaysia,10.64,MYS
Bangladesh,8.800,BGD
Venezuela,8.787,VEN
Pakistan,8.452,PAK
Ghana,3.559,GHA
India,3.023,IND
Mexico,2.580,MEX
Brazil,2.567,BRA
Australia,2.356,AUS
Taiwan,2.106,TWN
Argentina,1.919,ARG
Saudi Arabia,1.837,SAU
France,1.624,FRA
Ethiopia,1.404,ETH
Uruguay,1.344,URY
Cameroon,1.260,CMR
Belgium,0.999,BEL
United Kingdom,0.949,GBR
Hong Kong,0.920,HKG
Austria,0.908,AUT
Netherlands,0.886,NLD
Georgia,0.824,GEO
United States,0.819,USA
Switzerland,0.813,CHE
Portugal,0.731,PRT
Greece,0.554,GRC
Tunisia,0.479,TUN
Sweden,0.469,SWE
South Africa,0.435,ZAF
Morocco,0.415,MAR
Croatia,0.408,HRV
Germany,0.386,DEU
Nigeria,0.381,NGA
Italy,0.336,ITA
Jordan,0.316,JOR
Finland,0.316,FIN
Norway,0.301,NOR
China,0.297,CHN
Israel,0.284,ISR
Canada,0.279,CAN
Chile,0.269,CHL
Japan,0.267,JPN
New Zealand,0.241,NZL
Egypt,0.240,EGY
Spain,0.237,ESP
South Korea,0.203,PRK
Denmark,0.149,DNK
Czech Republic,0.135,CZE
Romania,0.135,ROU
Slovakia,0.114,SVK
Serbia,0.108,SRB
Russia,0.090,RUS
Ireland,0.084,IRL
Poland,0.084,POL
Iran,0.066,IRN
Kuwait,0.042,KWT
Turkey,0.023,TUR
United Arab Emirates,0.0,ARE
Ukraine,0.0,UKR
Slovenia,0.0,SVN
Lithuania,0.0,LTU
Lebanon,0.0,LBN
Latvia,0.0,LVA
Hungary,0.0,HUN
Estonia,0.0,EST
Bulgaria,0.0,BGR
Bosnia and Herzegovina,0.0,BIH
Belarus,0.0,BLR
Armenia,0.0,ARM
Algeria,0.0,DZA
